접수일자,data_split,접수지역,접수통수,요일,제1기분 자동차세,재산세(건축),정기분 주민세,주민세(사업소분),재산세(토지),제2기분 자동차세,사회보험료 통합,event_count,is_event,month,day,weekday_월,weekday_화,weekday_수,weekday_목,weekday_금,weekday_토,weekday_일,days_since_prev,lag_1,lag_5,rolling_mean_5,rolling_mean_20
2024-01-30,train,대전광역시,92571,화,0,0,0,0,0,0,0,0,0,1,30,0,1,0,0,0,0,0,1,94855.0,34096.0,56009.6,84579.7
2024-01-31,train,대전광역시,64407,수,0,0,0,0,0,0,0,0,0,1,31,0,0,1,0,0,0,0,1,92571.0,58701.0,67704.6,84944.9
2024-02-01,train,대전광역시,62954,목,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,64407.0,42462.0,68845.8,82229.35
2024-02-02,train,대전광역시,78320,금,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,62954.0,49934.0,72944.2,80707.95
2024-02-05,train,대전광역시,165497,월,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,3,78320.0,94855.0,78621.4,81734.55
2024-02-06,train,대전광역시,106812,화,0,0,0,0,0,0,0,0,0,2,6,0,1,0,0,0,0,0,1,165497.0,92571.0,92749.8,85926.8
2024-02-07,train,대전광역시,69412,수,0,0,0,0,0,0,0,0,0,2,7,0,0,1,0,0,0,0,1,106812.0,64407.0,95598.0,88624.2
2024-02-08,train,대전광역시,30791,목,0,0,0,0,0,0,0,0,0,2,8,0,0,0,1,0,0,0,1,69412.0,62954.0,96599.0,88144.35
2024-02-13,train,대전광역시,118992,화,0,0,0,0,0,0,0,0,0,2,13,0,1,0,0,0,0,0,5,30791.0,78320.0,90166.4,75593.3
2024-02-14,train,대전광역시,66041,수,0,0,0,0,0,0,0,0,0,2,14,0,0,1,0,0,0,0,1,118992.0,165497.0,98300.8,74546.7
2024-02-15,train,대전광역시,109941,목,0,0,0,0,0,0,0,0,0,2,15,0,0,0,1,0,0,0,1,66041.0,106812.0,78409.6,73493.9
2024-02-16,train,대전광역시,130544,금,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,1,0,0,1,109941.0,69412.0,79035.4,77012.0
2024-02-19,train,대전광역시,91634,월,0,0,0,0,0,0,0,0,0,2,19,1,0,0,0,0,0,0,3,130544.0,30791.0,91261.8,81401.1
2024-02-20,train,대전광역시,64353,화,0,0,0,0,0,0,0,0,0,2,20,0,1,0,0,0,0,0,1,91634.0,118992.0,103430.4,81618.35
2024-02-21,train,대전광역시,67161,수,0,0,0,0,0,0,1,1,1,2,21,0,0,1,0,0,0,0,1,64353.0,66041.0,92502.6,79994.25
2024-02-22,train,대전광역시,158714,목,0,0,0,0,0,0,1,1,1,2,22,0,0,0,1,0,0,0,1,67161.0,109941.0,92726.6,79973.9
2024-02-23,train,대전광역시,38327,금,0,0,0,0,0,0,1,1,1,2,23,0,0,0,0,1,0,0,1,158714.0,130544.0,102481.2,86204.8
2024-02-26,train,대전광역시,68316,월,0,0,0,0,0,0,0,0,0,2,26,1,0,0,0,0,0,0,3,38327.0,91634.0,84037.8,85186.1
2024-02-27,train,대전광역시,40872,화,0,0,0,0,0,0,0,0,0,2,27,0,1,0,0,0,0,0,1,68316.0,64353.0,79374.2,86478.8
2024-02-28,train,대전광역시,70031,수,0,0,0,0,0,0,0,0,0,2,28,0,0,1,0,0,0,0,1,40872.0,67161.0,74678.0,86025.7
2024-02-29,train,대전광역시,132575,목,0,0,0,0,0,0,0,0,0,2,29,0,0,0,1,0,0,0,1,70031.0,158714.0,75252.0,84784.5
2024-03-04,train,대전광역시,151341,월,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,4,132575.0,38327.0,70024.2,86784.7
2024-03-05,train,대전광역시,88599,화,0,0,0,0,0,0,0,0,0,3,5,0,1,0,0,0,0,0,1,151341.0,68316.0,92627.0,91131.4
2024-03-06,train,대전광역시,132580,수,0,0,0,0,0,0,0,0,0,3,6,0,0,1,0,0,0,0,1,88599.0,40872.0,96683.6,92413.65
2024-03-07,train,대전광역시,114981,목,0,0,0,0,0,0,0,0,0,3,7,0,0,0,1,0,0,0,1,132580.0,70031.0,115025.2,95126.65
2024-03-08,train,대전광역시,40932,금,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,1,0,0,1,114981.0,132575.0,124015.2,92600.85
2024-03-11,train,대전광역시,131458,월,0,0,0,0,0,0,0,0,0,3,11,1,0,0,0,0,0,0,3,40932.0,151341.0,105686.6,89306.85
2024-03-12,train,대전광역시,79671,화,0,0,0,0,0,0,0,0,0,3,12,0,1,0,0,0,0,0,1,131458.0,88599.0,101710.0,92409.15
2024-03-13,train,대전광역시,113881,수,0,0,0,0,0,0,0,0,0,3,13,0,0,1,0,0,0,0,1,79671.0,132580.0,99924.4,94853.15
2024-03-14,train,대전광역시,154502,목,0,0,0,0,0,0,0,0,0,3,14,0,0,0,1,0,0,0,1,113881.0,114981.0,96184.6,94597.6
2024-03-15,train,대전광역시,104741,금,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,1,0,0,1,154502.0,40932.0,104088.8,99020.65
2024-03-18,train,대전광역시,148801,월,0,0,0,0,0,0,0,0,0,3,18,1,0,0,0,0,0,0,3,104741.0,131458.0,116850.6,98760.65
2024-03-19,train,대전광역시,91742,화,0,0,0,0,0,0,0,0,0,3,19,0,1,0,0,0,0,0,1,148801.0,79671.0,120319.2,99673.5
2024-03-20,train,대전광역시,101139,수,0,0,0,0,0,0,0,0,0,3,20,0,0,1,0,0,0,0,1,91742.0,113881.0,122733.4,99678.9
2024-03-21,train,대전광역시,97861,목,0,0,0,0,0,0,1,1,1,3,21,0,0,0,1,0,0,0,1,101139.0,154502.0,120185.0,101518.2
2024-03-22,train,대전광역시,66990,금,0,0,0,0,0,0,1,1,1,3,22,0,0,0,0,1,0,0,1,97861.0,104741.0,108856.8,103053.2
2024-03-25,train,대전광역시,84439,월,0,0,0,0,0,0,1,1,1,3,25,1,0,0,0,0,0,0,3,66990.0,148801.0,101306.6,98467.0
2024-03-26,train,대전광역시,62777,화,0,0,0,0,0,0,0,0,0,3,26,0,1,0,0,0,0,0,1,84439.0,91742.0,88434.2,100772.6
2024-03-27,train,대전광역시,104513,수,0,0,0,0,0,0,0,0,0,3,27,0,0,1,0,0,0,0,1,62777.0,101139.0,82641.2,100495.65
2024-03-28,train,대전광역시,49931,목,0,0,0,0,0,0,0,0,0,3,28,0,0,0,1,0,0,0,1,104513.0,97861.0,83316.0,103677.7
2024-03-29,train,대전광역시,66656,금,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0,1,0,0,1,49931.0,66990.0,73730.0,102672.7
2024-03-30,train,대전광역시,678618,토,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0,1,0,1,66656.0,84439.0,73663.2,99376.75
2024-03-31,train,대전광역시,4922,일,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0,0,0,1,1,678618.0,62777.0,192499.0,125740.6
2024-04-01,train,대전광역시,119711,월,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,1,4922.0,104513.0,180928.0,121556.75
2024-04-02,train,대전광역시,41579,화,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,1,119711.0,49931.0,183967.6,120913.3
2024-04-03,train,대전광역시,157298,수,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,1,41579.0,66656.0,182297.2,117243.2
2024-04-04,train,대전광역시,70474,목,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,0,0,0,1,157298.0,678618.0,200425.6,123061.5
2024-04-05,train,대전광역시,31957,금,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,0,1,70474.0,4922.0,78796.8,120012.3
2024-04-08,train,대전광역시,85370,월,0,0,0,0,0,0,0,0,0,4,8,1,0,0,0,0,0,0,3,31957.0,119711.0,84203.8,117626.6
2024-04-09,train,대전광역시,37625,화,0,0,0,0,0,0,0,0,0,4,9,0,1,0,0,0,0,0,1,85370.0,41579.0,77335.6,116201.05
2024-04-11,train,대전광역시,117585,목,0,0,0,0,0,0,0,0,0,4,11,0,0,0,1,0,0,0,2,37625.0,157298.0,76544.8,110357.2
2024-04-12,train,대전광역시,66266,금,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,1,0,0,1,117585.0,70474.0,68602.2,110999.4
2024-04-15,train,대전광역시,174085,월,0,0,0,0,0,0,0,0,0,4,15,1,0,0,0,0,0,0,3,66266.0,31957.0,67760.6,106872.65
2024-04-16,train,대전광역시,78281,화,0,0,0,0,0,0,0,0,0,4,16,0,1,0,0,0,0,0,1,174085.0,85370.0,96186.2,110989.8
2024-04-17,train,대전광역시,68181,수,0,0,0,0,0,0,0,0,0,4,17,0,0,1,0,0,0,0,1,78281.0,37625.0,94768.4,109846.9
2024-04-18,train,대전광역시,142425,목,0,0,0,0,0,0,0,0,0,4,18,0,0,0,1,0,0,0,1,68181.0,117585.0,100879.6,108362.9
2024-04-19,train,대전광역시,30000,금,0,0,0,0,0,0,0,0,0,4,19,0,0,0,0,1,0,0,1,142425.0,66266.0,105847.6,112134.65
2024-04-22,train,대전광역시,139328,월,0,0,0,0,0,0,1,1,1,4,22,1,0,0,0,0,0,0,3,30000.0,174085.0,98594.4,109412.7
2024-04-23,train,대전광역시,21388,화,0,0,0,0,0,0,1,1,1,4,23,0,1,0,0,0,0,0,1,139328.0,78281.0,91643.0,113240.25
2024-04-24,train,대전광역시,35980,수,0,0,0,0,0,0,1,1,1,4,24,0,0,1,0,0,0,0,1,21388.0,68181.0,80264.4,109084.0
2024-04-25,train,대전광역시,95879,목,0,0,0,0,0,0,1,1,1,4,25,0,0,0,1,0,0,0,1,35980.0,142425.0,73824.2,108386.45
2024-04-26,train,대전광역시,82726,금,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0,1,0,0,1,95879.0,30000.0,64515.0,109847.6
2024-04-29,train,대전광역시,109719,월,0,0,0,0,0,0,0,0,0,4,29,1,0,0,0,0,0,0,3,82726.0,139328.0,75060.2,80053.0
2024-04-30,train,대전광역시,83646,화,0,0,0,0,0,0,0,0,0,4,30,0,1,0,0,0,0,0,1,109719.0,21388.0,69138.4,85292.85
2024-05-01,train,대전광역시,9142,수,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,1,83646.0,35980.0,81590.0,83489.6
2024-05-02,train,대전광역시,110974,목,0,0,0,0,0,0,0,0,0,5,2,0,0,0,1,0,0,0,1,9142.0,95879.0,76222.4,81867.75
2024-05-03,train,대전광역시,74344,금,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,1,0,0,1,110974.0,82726.0,79241.4,79551.55
2024-05-07,train,대전광역시,111063,화,0,0,0,0,0,0,0,0,0,5,7,0,1,0,0,0,0,0,4,74344.0,109719.0,77565.0,79745.05
2024-05-08,train,대전광역시,38634,수,0,0,0,0,0,0,0,0,0,5,8,0,0,1,0,0,0,0,1,111063.0,83646.0,77833.8,83700.35
2024-05-09,train,대전광역시,122858,목,0,0,0,0,0,0,0,0,0,5,9,0,0,0,1,0,0,0,1,38634.0,9142.0,68831.4,81363.55
2024-05-10,train,대전광역시,44880,금,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,1,0,0,1,122858.0,110974.0,91574.6,85625.2
2024-05-13,train,대전광역시,150737,월,0,0,0,0,0,0,0,0,0,5,13,1,0,0,0,0,0,0,3,44880.0,74344.0,78355.8,81989.95
2024-05-14,train,대전광역시,94812,화,0,0,0,0,0,0,0,0,0,5,14,0,1,0,0,0,0,0,1,150737.0,111063.0,93634.4,86213.5
2024-05-16,train,대전광역시,132588,목,0,0,0,0,0,0,0,0,0,5,16,0,0,0,1,0,0,0,2,94812.0,38634.0,90384.2,82249.85
2024-05-17,train,대전광역시,51055,금,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,1,0,0,1,132588.0,122858.0,109175.0,84965.2
2024-05-20,train,대전광역시,116473,월,0,0,0,0,0,0,0,0,0,5,20,1,0,0,0,0,0,0,3,51055.0,44880.0,94814.4,84108.9
2024-05-21,train,대전광역시,65905,화,0,0,0,0,0,0,1,1,1,5,21,0,1,0,0,0,0,0,1,116473.0,150737.0,109133.0,82811.3
2024-05-22,train,대전광역시,53421,수,0,0,0,0,0,0,1,1,1,5,22,0,0,1,0,0,0,0,1,65905.0,94812.0,92166.6,84606.55
2024-05-23,train,대전광역시,113137,목,0,0,0,0,0,0,1,1,1,5,23,0,0,0,1,0,0,0,1,53421.0,132588.0,83888.4,80311.2
2024-05-24,train,대전광역시,30678,금,0,0,0,0,0,0,1,1,1,5,24,0,0,0,0,1,0,0,1,113137.0,51055.0,79998.2,84898.65
2024-05-27,train,대전광역시,100685,월,0,0,0,0,0,0,0,0,0,5,27,1,0,0,0,0,0,0,3,30678.0,116473.0,75922.8,84633.55
2024-05-28,train,대전광역시,98035,화,0,0,0,0,0,0,0,0,0,5,28,0,1,0,0,0,0,0,1,100685.0,65905.0,72765.2,84873.85
2024-05-29,train,대전광역시,24357,수,0,0,0,0,0,0,0,0,0,5,29,0,0,1,0,0,0,0,1,98035.0,53421.0,79191.2,85639.3
2024-05-30,train,대전광역시,124563,목,0,0,0,0,0,0,0,0,0,5,30,0,0,0,1,0,0,0,1,24357.0,113137.0,73378.4,81371.2
2024-05-31,train,대전광역시,28393,금,0,0,0,0,0,0,0,0,0,5,31,0,0,0,0,1,0,0,1,124563.0,30678.0,75663.6,83417.05
2024-06-03,train,대전광역시,156184,월,0,0,0,0,0,0,0,0,0,6,3,1,0,0,0,0,0,0,3,28393.0,100685.0,75206.6,84379.6
2024-06-04,train,대전광역시,45874,화,0,0,0,0,0,0,0,0,0,6,4,0,1,0,0,0,0,0,1,156184.0,98035.0,86306.4,86640.1
2024-06-05,train,대전광역시,103855,수,0,0,0,0,0,0,0,0,0,6,5,0,0,1,0,0,0,0,1,45874.0,24357.0,75874.2,85216.6
2024-06-07,train,대전광역시,109636,금,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,1,0,0,2,103855.0,124563.0,91773.8,84856.2
2024-06-10,train,대전광역시,148638,월,1,0,0,0,0,0,0,1,1,6,10,1,0,0,0,0,0,0,3,109636.0,28393.0,88788.4,88406.3
2024-06-11,train,대전광역시,193298,화,1,0,0,0,0,0,0,1,1,6,11,0,1,0,0,0,0,0,1,148638.0,156184.0,112837.4,89695.3
2024-06-12,train,대전광역시,88486,수,1,0,0,0,0,0,0,1,1,6,12,0,0,1,0,0,0,0,1,193298.0,45874.0,120260.2,97116.2
2024-06-13,train,대전광역시,279745,목,1,0,0,0,0,0,0,1,1,6,13,0,0,0,1,0,0,0,1,88486.0,103855.0,128782.6,94003.65
2024-06-14,train,대전광역시,47301,금,1,0,0,0,0,0,0,1,1,6,14,0,0,0,0,1,0,0,1,279745.0,109636.0,163960.6,103250.3
2024-06-17,train,대전광역시,81880,월,0,0,0,0,0,0,0,0,0,6,17,1,0,0,0,0,0,0,3,47301.0,148638.0,151493.6,98985.95
2024-06-18,train,대전광역시,84484,화,0,0,0,0,0,0,0,0,0,6,18,0,1,0,0,0,0,0,1,81880.0,193298.0,138142.0,100527.2
2024-06-19,train,대전광역시,39900,수,0,0,0,0,0,0,0,0,0,6,19,0,0,1,0,0,0,0,1,84484.0,88486.0,116379.2,98927.75
2024-06-20,train,대전광역시,55804,목,0,0,0,0,0,0,0,0,0,6,20,0,0,0,1,0,0,0,1,39900.0,279745.0,106662.0,97627.5
2024-06-21,train,대전광역시,33070,금,0,0,0,0,0,0,1,1,1,6,21,0,0,0,0,1,0,0,1,55804.0,47301.0,61873.8,97746.65
2024-06-24,train,대전광역시,99101,월,0,0,0,0,0,0,1,1,1,6,24,1,0,0,0,0,0,0,3,33070.0,81880.0,59027.6,93743.3
2024-06-25,train,대전광역시,49060,화,0,0,0,0,0,0,1,1,1,6,25,0,1,0,0,0,0,0,1,99101.0,84484.0,62471.8,97164.45
2024-06-26,train,대전광역시,56289,수,0,0,0,0,0,0,0,0,0,6,26,0,0,1,0,0,0,0,1,49060.0,39900.0,55387.0,94583.2
2024-06-27,train,대전광역시,48718,목,0,0,0,0,0,0,0,0,0,6,27,0,0,0,1,0,0,0,1,56289.0,55804.0,58664.8,92495.9
2024-06-28,train,대전광역시,38982,금,0,0,0,0,0,0,0,0,0,6,28,0,0,0,0,1,0,0,1,48718.0,33070.0,57247.6,93713.95
2024-07-01,train,대전광역시,90743,월,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,3,38982.0,99101.0,58430.0,89434.9
2024-07-02,train,대전광역시,33906,화,0,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,1,90743.0,49060.0,56758.4,92552.4
2024-07-03,train,대전광역시,103915,수,0,0,0,0,0,0,0,0,0,7,3,0,0,1,0,0,0,0,1,33906.0,56289.0,53727.6,86438.5
2024-07-04,train,대전광역시,35704,목,0,0,0,0,0,0,0,0,0,7,4,0,0,0,1,0,0,0,1,103915.0,48718.0,63252.8,89340.55
2024-07-05,train,대전광역시,45724,금,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,1,0,0,1,35704.0,38982.0,60650.0,85933.0
2024-07-08,train,대전광역시,116992,월,0,0,0,0,0,0,0,0,0,7,8,1,0,0,0,0,0,0,3,45724.0,90743.0,61998.4,82737.4
2024-07-09,train,대전광역시,38398,화,0,1,0,0,0,0,0,1,1,7,9,0,1,0,0,0,0,0,1,116992.0,33906.0,67248.2,81155.1
2024-07-10,train,대전광역시,36691,수,0,1,0,0,0,0,0,1,1,7,10,0,0,1,0,0,0,0,1,38398.0,103915.0,68146.6,73410.1
2024-07-11,train,대전광역시,145348,목,0,1,0,0,0,0,0,1,1,7,11,0,0,0,1,0,0,0,1,36691.0,35704.0,54701.8,70820.35
2024-07-12,train,대전광역시,473046,금,0,1,0,0,0,0,0,1,1,7,12,0,0,0,0,1,0,0,1,145348.0,45724.0,76630.6,64100.5
2024-07-15,train,대전광역시,89492,월,0,1,0,0,0,0,0,1,1,7,15,1,0,0,0,0,0,0,3,473046.0,116992.0,162095.0,85387.75
2024-07-16,train,대전광역시,33677,화,0,0,0,0,0,0,0,0,0,7,16,0,1,0,0,0,0,0,1,89492.0,38398.0,156595.0,85768.35
2024-07-17,train,대전광역시,25702,수,0,0,0,0,0,0,0,0,0,7,17,0,0,1,0,0,0,0,1,33677.0,36691.0,155650.8,83228.0
2024-07-18,train,대전광역시,38443,목,0,0,0,0,0,0,0,0,0,7,18,0,0,0,1,0,0,0,1,25702.0,145348.0,153453.0,82518.1
2024-07-19,train,대전광역시,41444,금,0,0,0,0,0,0,0,0,0,7,19,0,0,0,0,1,0,0,1,38443.0,473046.0,132072.0,81650.05
2024-07-22,train,대전광역시,86161,월,0,0,0,0,0,0,1,1,1,7,22,1,0,0,0,0,0,0,3,41444.0,89492.0,45751.6,82068.75
2024-07-23,train,대전광역시,43038,화,0,0,0,0,0,0,1,1,1,7,23,0,1,0,0,0,0,0,1,86161.0,33677.0,45085.4,81421.75
2024-07-24,train,대전광역시,32414,수,0,0,0,0,0,0,1,1,1,7,24,0,0,1,0,0,0,0,1,43038.0,25702.0,46957.6,81120.65
2024-07-25,train,대전광역시,58185,목,0,0,0,1,0,0,1,2,1,7,25,0,0,0,1,0,0,0,1,32414.0,38443.0,48300.0,79926.9
2024-07-26,train,대전광역시,54104,금,0,0,0,1,0,0,0,1,1,7,26,0,0,0,0,1,0,0,1,58185.0,41444.0,52248.4,80400.25
2024-07-29,train,대전광역시,43947,월,0,0,0,1,0,0,0,1,1,7,29,1,0,0,0,0,0,0,3,54104.0,86161.0,54780.4,81156.35
2024-07-30,train,대전광역시,31890,화,0,0,0,1,0,0,0,1,1,7,30,0,1,0,0,0,0,0,1,43947.0,43038.0,46337.6,78816.55
2024-07-31,train,대전광역시,67055,수,0,0,0,1,0,0,0,1,1,7,31,0,0,1,0,0,0,0,1,31890.0,32414.0,44108.0,78715.75
2024-08-01,train,대전광역시,33038,목,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,1,67055.0,58185.0,51036.2,76872.75
2024-08-02,train,대전광역시,81866,금,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,1,33038.0,54104.0,46006.8,76739.45
2024-08-05,train,대전광역시,72540,월,0,0,0,0,0,0,0,0,0,8,5,1,0,0,0,0,0,0,3,81866.0,43947.0,51559.2,78546.55
2024-08-06,train,대전광역시,70540,화,0,0,0,0,0,0,0,0,0,8,6,0,1,0,0,0,0,0,1,72540.0,31890.0,57277.8,76323.95
2024-08-07,train,대전광역시,22028,수,0,0,0,0,0,0,0,0,0,8,7,0,0,1,0,0,0,0,1,70540.0,67055.0,65007.8,77931.05
2024-08-08,train,대전광역시,61541,목,0,0,1,0,0,0,0,1,1,8,8,0,0,0,1,0,0,0,1,22028.0,33038.0,56002.4,77197.9
2024-08-09,train,대전광역시,92003,금,0,0,1,0,0,0,0,1,1,8,9,0,0,0,0,1,0,0,1,61541.0,81866.0,61703.0,73007.55
2024-08-12,train,대전광역시,621253,월,0,0,1,0,0,0,0,1,1,8,12,1,0,0,0,0,0,0,3,92003.0,72540.0,63730.4,53955.4
2024-08-13,train,대전광역시,76977,화,0,0,1,0,0,0,0,1,1,8,13,0,1,0,0,0,0,0,1,621253.0,70540.0,173473.0,80543.45
2024-08-14,train,대전광역시,78377,수,0,0,1,0,0,0,0,1,1,8,14,0,0,1,0,0,0,0,1,76977.0,22028.0,174760.4,82708.45
2024-08-16,train,대전광역시,55452,금,0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,1,0,0,2,78377.0,61541.0,186030.2,85342.2
2024-08-19,train,대전광역시,80921,월,0,0,0,0,0,0,0,0,0,8,19,1,0,0,0,0,0,0,3,55452.0,92003.0,184812.4,86192.65
2024-08-20,train,대전광역시,54883,화,0,0,0,0,0,0,0,0,0,8,20,0,1,0,0,0,0,0,1,80921.0,621253.0,182596.0,88166.5
2024-08-21,train,대전광역시,26517,수,0,0,0,0,0,0,1,1,1,8,21,0,0,1,0,0,0,0,1,54883.0,76977.0,69322.0,86602.6
2024-08-22,train,대전광역시,137297,목,0,0,0,0,0,0,1,1,1,8,22,0,0,0,1,0,0,0,1,26517.0,78377.0,59230.0,85776.55
2024-08-23,train,대전광역시,78597,금,0,0,0,0,0,0,1,1,1,8,23,0,0,0,0,1,0,0,1,137297.0,55452.0,71014.0,91020.7
2024-08-26,train,대전광역시,96543,월,0,0,0,0,0,0,0,0,0,8,26,1,0,0,0,0,0,0,3,78597.0,80921.0,75643.0,92041.3
2024-08-27,train,대전광역시,105561,화,0,0,0,0,0,0,0,0,0,8,27,0,1,0,0,0,0,0,1,96543.0,54883.0,78767.4,94163.25
2024-08-28,train,대전광역시,35717,수,0,0,0,0,0,0,0,0,0,8,28,0,0,1,0,0,0,0,1,105561.0,26517.0,88903.0,97243.95
2024-08-29,train,대전광역시,113106,목,0,0,0,0,0,0,0,0,0,8,29,0,0,0,1,0,0,0,1,35717.0,137297.0,90743.0,97435.3
2024-08-30,train,대전광역시,31773,금,0,0,0,0,0,0,0,0,0,8,30,0,0,0,0,1,0,0,1,113106.0,78597.0,85904.8,99737.85
2024-09-02,train,대전광역시,109771,월,0,0,0,0,0,0,0,0,0,9,2,1,0,0,0,0,0,0,3,31773.0,96543.0,76540.0,99674.6
2024-09-03,train,대전광역시,56270,화,0,0,0,0,0,0,0,0,0,9,3,0,1,0,0,0,0,0,1,109771.0,105561.0,79185.6,101069.85
2024-09-04,train,대전광역시,101600,수,0,0,0,0,0,0,0,0,0,9,4,0,0,1,0,0,0,0,1,56270.0,35717.0,69327.4,100256.35
2024-09-05,train,대전광역시,103344,목,0,0,0,0,0,0,0,0,0,9,5,0,0,0,1,0,0,0,1,101600.0,113106.0,82504.0,101809.35
2024-09-06,train,대전광역시,67473,금,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,1,0,0,1,103344.0,31773.0,80551.6,105875.15
2024-09-09,train,대전광역시,117738,월,0,1,0,0,0,0,0,1,1,9,9,1,0,0,0,0,0,0,3,67473.0,109771.0,87691.6,106171.75
2024-09-10,train,대전광역시,439875,화,0,1,0,0,0,0,0,1,1,9,10,0,1,0,0,0,0,0,1,117738.0,56270.0,89285.0,107458.5
2024-09-11,train,대전광역시,101490,수,0,1,0,0,0,0,0,1,1,9,11,0,0,1,0,0,0,0,1,439875.0,101600.0,166006.0,98389.6
2024-09-12,train,대전광역시,137333,목,0,1,0,0,0,0,0,1,1,9,12,0,0,0,1,0,0,0,1,101490.0,103344.0,165984.0,99615.25
2024-09-13,train,대전광역시,54632,금,0,1,0,0,0,0,0,1,1,9,13,0,0,0,0,1,0,0,1,137333.0,67473.0,172781.8,102563.05
2024-09-19,train,대전광역시,153979,목,0,0,0,0,0,0,0,0,0,9,19,0,0,0,1,0,0,0,6,54632.0,117738.0,170213.6,102522.05
2024-09-20,train,대전광역시,45379,금,0,0,0,0,0,0,0,0,0,9,20,0,0,0,0,1,0,0,1,153979.0,439875.0,177461.8,106174.95
2024-09-23,train,대전광역시,188811,월,0,0,0,0,0,0,1,1,1,9,23,1,0,0,0,0,0,0,3,45379.0,101490.0,98562.6,105699.75
2024-09-24,train,대전광역시,43044,화,0,0,0,0,0,0,1,1,1,9,24,0,1,0,0,0,0,0,1,188811.0,137333.0,116026.8,113814.45
2024-09-25,train,대전광역시,57197,수,0,0,0,0,0,0,1,1,1,9,25,0,0,1,0,0,0,0,1,43044.0,54632.0,97169.0,109101.8
2024-09-26,train,대전광역시,102238,목,0,0,0,0,0,0,0,0,0,9,26,0,0,0,1,0,0,0,1,57197.0,153979.0,97682.0,108031.8
2024-09-27,train,대전광역시,43243,금,0,0,0,0,0,0,0,0,0,9,27,0,0,0,0,1,0,0,1,102238.0,45379.0,87333.8,108316.55
2024-09-30,train,대전광역시,107439,월,0,0,0,0,0,0,0,0,0,9,30,1,0,0,0,0,0,0,3,43243.0,188811.0,86906.6,105200.65
2024-10-02,train,대전광역시,109647,수,0,0,0,0,0,0,0,0,0,10,2,0,0,1,0,0,0,0,2,107439.0,43044.0,70632.2,108786.75
2024-10-04,train,대전광역시,119723,금,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,1,0,0,2,109647.0,57197.0,83952.8,108613.8
2024-10-07,train,대전광역시,115471,월,0,0,0,0,0,0,0,0,0,10,7,1,0,0,0,0,0,0,3,119723.0,102238.0,96458.0,113011.3
2024-10-08,train,대전광역시,36792,화,0,0,0,0,0,0,0,0,0,10,8,0,1,0,0,0,0,0,1,115471.0,43243.0,99104.6,113296.3
2024-10-10,train,대전광역시,121329,목,0,0,0,0,0,0,0,0,0,10,10,0,0,0,1,0,0,0,2,36792.0,107439.0,97814.4,112322.4
2024-10-11,train,대전광역시,116320,금,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,1,0,0,1,121329.0,109647.0,100592.4,113308.85
2024-10-14,train,대전광역시,171351,월,0,0,0,0,0,0,0,0,0,10,14,1,0,0,0,0,0,0,3,116320.0,119723.0,101927.0,113957.65
2024-10-15,train,대전광역시,77705,화,0,0,0,0,0,0,0,0,0,10,15,0,1,0,0,0,0,0,1,171351.0,115471.0,112252.6,119151.55
2024-10-16,train,대전광역시,39628,수,0,0,0,0,0,0,0,0,0,10,16,0,0,1,0,0,0,0,1,77705.0,36792.0,104699.4,117149.9
2024-10-17,train,대전광역시,130120,목,0,0,0,0,0,0,0,0,0,10,17,0,0,0,1,0,0,0,1,39628.0,121329.0,105266.6,97137.55
2024-10-18,train,대전광역시,58560,금,0,0,0,0,0,0,0,0,0,10,18,0,0,0,0,1,0,0,1,130120.0,116320.0,107024.8,98569.05
